,DEC,DISCOVERYNAME,DISCOVERYREFNAME,DISTARCSEC,DISTMOD,GAIAGEST,GUNNG,GUNNGERR,GUNNI,GUNNIERR,GUNNR,GUNNRERR,GUNNY,GUNNYERR,GUNNZ,GUNNZERR,LIT_DEC,LIT_PARALLAX,LIT_PARALLAXREFNAME,LIT_PARALLAX_ERROR,LIT_RA,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,PARALLAX,PARALLAX_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PMDEC,PMDEC_ERROR,PMRA,PMRA_ERROR,RA,SHORTNAME,SOURCE_ID,SPTNIRNAME,SPTNIRREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTPHONAME,SPTPHOREFNAME,TMASSH,TMASSHERR,TMASSJ,TMASSJERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,source_id
75,44.745266124,   2MASSI J0213288+444445  , 2003AJ....126.2421C ,0.08,-1.43,18.468,-99999.0,-99999.0,17.826,0.006999999999999999,20.244,0.031,15.375,0.006,16.338,0.001,44.745934,50.0, 2016ApJS..225...10F ,2.1,33.370014,            ,                     ,51.68,0.38,       36.0 ,     7.2 ,     21.461 ,      4.283 ,944.5,2.4,18.25,0.047,     1789.2 ,    22.9 ,     16.630 ,      0.213 ,-145.81,0.42,-52.15,0.58,33.369653219, J0213+4444  ,352200138749697408,       ...  ,                ...  ,      L1.5  , 2003AJ....126.2421C ,       ...  ,                ...  ,12.757,0.024,13.494000000000002,0.025,12.213,0.023,11.872,0.023,11.614,0.021,11.258,0.166,187.0
76,-31.556973945,   2MASSI J0218291-313322  , 2003AJ....126.2421C ,0.13,-1.83,19.835,-99999.0,-99999.0,19.348,0.013999999999999999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-31.556956,-99999.0,                ...  ,-99999.0,34.62058,            ,                     ,43.11,0.57,       52.4 ,     9.9 ,     21.053 ,      3.960 ,232.3,1.2,19.773,0.099,      444.5 ,    11.8 ,     18.142 ,      0.480 ,-124.8,1.25,-138.51,1.2,34.620558677, J0218-3133  ,4971581089304028288,        L4  , 2014APJ...794..143B ,        L3  , 2003AJ....126.2421C ,       ...  ,                ...  ,13.808,0.037000000000000005,14.728,0.04,13.154000000000002,0.035,12.602,0.024,12.290999999999999,0.023,11.914000000000001,0.228,190.0
77,5.108573665, ULAS J021922.04+050630.7  , 2016A&A...589A..49S ,0.07,-2.92,19.939,-99999.0,-99999.0,19.47,0.005,21.643,0.048,16.941,0.006,17.923,0.008,5.1085626,-99999.0,            -99999.  ,-99999.0,34.842142,            ,                     ,26.04,0.85,       95.1 ,    30.1 ,     20.406 ,      6.462 ,181.4,1.7,20.042,0.18600000000000003,      423.8 ,     7.8 ,     18.194 ,      0.336 ,20.26,1.47,185.35,1.81,34.842292631, J0219+0506  ,2516832113694146560,       ...  ,                ...  ,       ...  ,                ...  ,        L3  , 2016A&A...589A..49S ,14.050999999999998,0.044000000000000004,14.970999999999998,0.035,13.48,0.039,12.952,0.024,12.626,0.026000000000000002,12.001,0.28,472.0
78,-19.64543609,         SSSPM J0219-1939  , 2002A&A...389L..20L ,0.11,-2.2,19.41,-99999.0,-99999.0,18.458,0.01,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-19.645416,37.2, 2013AJ....146..161M ,4.1,34.867826,            ,                     ,36.38,0.32,       37.4 ,     5.1 ,     21.419 ,      2.940 ,511.6,1.4,18.916,0.05,     1000.2 ,     7.5 ,     17.262 ,      0.129 ,-143.89,0.47,210.91,0.52,34.867856307, J0219-1938  ,5131045975099845376,      L2.5  , 2005A&A...440.1061L ,        L1  , 2005A&A...440.1061L ,       ...  ,                ...  ,13.339,0.027999999999999997,14.11,0.027000000000000003,12.91,0.034,12.57,0.024,12.322000000000001,0.024,12.485999999999999,0.371,829.0
79,-58.251913026000004,   2MASS 02235464-5815067  , 2008AJ....136.1290R ,0.04,-3.06,19.386,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-58.251911,27.4, 2016ApJS..225...10F ,2.6,35.978558,       MG;  , 2014APJ...783..121G ,24.42,0.6,       43.9 ,    10.3 ,     21.244 ,      4.993 ,153.4,0.8,20.224,0.102,      306.7 ,     7.1 ,     18.545 ,      0.428 ,-17.38,0.92,104.21,1.08,35.978585768, J0223-5815  ,4738287468036620160,       ...  ,                ...  ,  L0 gamma  , 2009AJ....137.3345C ,       ...  ,                ...  ,14.003,0.037000000000000005,15.07,0.05,13.417,0.043,12.837,0.023,12.460999999999999,0.022000000000000002,11.505999999999998,0.17600000000000002,731.0
82,-16.414546642,   2MASS 02271036-1624479  , 2008AJ....136.1290R ,0.28,-1.56,18.482,22.19,0.18600000000000003,17.934,0.004,-99999.0,-99999.0,15.573,0.001,16.548,0.004,-16.414494,-99999.0,                ...  ,-99999.0,36.794958,            ,                     ,48.79,0.34,       62.6 ,    11.8 ,     20.860 ,      3.929 ,821.6,3.2,18.402,0.07200000000000001,     1517.1 ,    13.7 ,     16.809 ,      0.151 ,-304.24,0.33,439.42,0.41,36.795025248, J0227-1624  ,5145416111038393216,     L0.5:  , 2013AJ....146..161M ,        L1  , 2008AJ....136.1290R ,       ...  ,                ...  ,12.63,0.024,13.573,0.023,12.142999999999999,0.03,11.785,0.023,11.567,0.022000000000000002,11.122,0.094,733.0
83,16.657308202,   2MASS 02284243+1639329  , 2008AJ....136.1290R ,0.25,-1.68,17.88,21.590999999999998,0.064,17.340999999999998,0.006999999999999999,19.8,0.013999999999999999,14.98,0.006,15.902999999999999,0.003,16.659166,-99999.0,                ...  ,-99999.0,37.176819,            ,                     ,46.05,0.41,       74.0 ,    11.1 ,     20.678 ,      3.101 ,1414.2,3.4,17.812,0.043,     2595.8 ,    21.1 ,     16.226 ,      0.132 ,-430.72,0.42,400.32,0.42,37.178640221, J0228+1639  ,82493612948013824,      M8.5  , 2014APJ...794..143B ,       L0:  , 2008AJ....136.1290R ,       ...  ,                ...  ,12.325,0.03,13.165999999999999,0.026000000000000002,11.818,0.023,11.556,0.023,11.332,0.023,11.12,0.235,735.0
85,27.068258429,   2MASS 02301551+2704061  , 2007AJ....133..439C ,0.09,-3.19,19.038,-99999.0,-99999.0,18.586,0.006999999999999999,20.997,0.031,16.155,0.006,17.134,0.006999999999999999,27.068263,-99999.0,                ...  ,-99999.0,37.565602,            ,                     ,22.97,0.34,       64.6 ,    16.5 ,     20.826 ,      5.306 ,449.2,1.8,19.057000000000002,0.078,      857.7 ,    11.7 ,     17.429 ,      0.237 ,-28.36,0.62,192.95,0.6,37.565635297, J0230+2704  ,127547918667757568,      M9.5  , 2014APJ...794..143B ,       L0:  , 2007AJ....133..439C ,       ...  ,                ...  ,13.478,0.028999999999999998,14.294,0.027000000000000003,12.985999999999999,0.023,12.665,0.024,12.389000000000001,0.024,11.981,0.335,833.0
88,-64.701981463,   2MASS 02340093-6442068  , 2010APJS..190..100K ,0.03,-3.41,19.852,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-64.70198,-99999.0,                ...  ,-99999.0,38.504758,       MG;  , 2010APJS..190..100K ,20.81,0.71,      112.9 ,    35.0 ,     20.220 ,      6.270 ,148.4,1.2,20.26,0.159,      302.1 ,     8.2 ,     18.562 ,      0.501 ,-7.01,1.19,87.86,1.2,38.50478377, J0234-6442  ,4697085327076101760,       ...  ,                ...  ,  L0 gamma  , 2010APJS..190..100K ,       ...  ,                ...  ,14.442,0.055999999999999994,15.325,0.063,13.852,0.069,13.270999999999999,0.024,12.93,0.024,12.572000000000001,0.31,1368.0
90,-23.522242774000002,                GJ 1048 B  , 2001AJ....121.2185G ,0.14,-1.66,18.256,-99999.0,-99999.0,17.404,0.033,-99999.0,-99999.0,15.39,0.052000000000000005,16.164,0.048,-23.522262,47.01, 2007A&A...474..653V ,0.94,39.000177,       VB;  , 2001AJ....121.2185G ,46.58,0.29,      169.7 ,    47.9 ,     19.777 ,      5.583 ,686.0,3.0,18.598,0.083,     1405.9 ,    25.9 ,     16.892 ,      0.312 ,20.96,0.62,94.68,0.54,39.000191948, J0235-2331  ,5125415028162047488,        L1  , 2001AJ....121.2185G ,        L1  , 2001AJ....121.2185G ,       ...  ,                ...  ,12.725,0.20199999999999999,13.67,0.15,12.186,0.081,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,567.0
91,-17.596893217,   2MASSI J0239424-173547  , 2003AJ....126.2421C ,0.07,-2.37,18.956,-99999.0,-99999.0,18.531,0.004,20.715,0.039,16.156,0.005,17.104,0.004,-17.596879,32.1, 2013AJ....146..161M ,4.7,39.927159,            ,                     ,33.59,0.52,       74.9 ,    18.9 ,     20.665 ,      5.202 ,469.4,2.0,19.01,0.08199999999999999,      893.5 ,    10.4 ,     17.384 ,      0.202 ,-99.18,0.61,61.52,0.58,39.927167727, J0239-1735  ,5132321541732365312,        M9  , 2013AJ....146..161M ,        L0  , 2003AJ....126.2421C ,       ...  ,                ...  ,13.525,0.035,14.290999999999999,0.032,13.039000000000001,0.032,12.709000000000001,0.023,12.433,0.023,11.792,0.196,693.0
92,-12.685513531,   2MASSI J0241536-124106  , 2003AJ....126.2421C ,0.31,-3.0,20.480999999999998,-99999.0,-99999.0,20.032,0.02,-99999.0,-99999.0,17.614,0.03,18.619,0.023,-12.685272,-99999.0,                ...  ,-99999.0,40.473652,            ,                     ,25.17,1.34,        NaN ,     NaN ,        NaN ,        NaN ,112.8,1.4,20.557,0.248,        NaN ,     NaN ,        NaN ,        NaN ,-48.31,3.75,317.18,2.75,40.475216738, J0241-1241  ,5170773357435861760,        L2  , 2014APJ...794..143B ,       L2:  , 2003AJ....126.2421C ,       ...  ,                ...  ,14.645999999999999,0.062,15.605,0.068,13.931,0.063,13.629000000000001,0.026000000000000002,13.312999999999999,0.027999999999999997,12.875,0.435,99.0
98,16.051283774,   2MASS 03140344+1603056  , 2007AJ....133.2258S ,0.15,-0.67,17.334,21.08,0.027999999999999997,16.797,0.004,19.111,0.012,14.386,0.004,15.366,0.004,16.051563,72.07, 2016ApJ...833...96L ,1.5,48.514355,            ,                     ,73.43,0.28,       90.4 ,     8.6 ,     20.461 ,      1.943 ,2413.1,4.4,17.232,0.031,     4483.6 ,    21.8 ,     15.633 ,      0.076 ,-55.11,0.3,-242.45,0.34,48.513255356, J0314+1603  ,31235033696866688,      M9.5  , 2014APJ...794..143B ,        L0  , 2007AJ....133.2258S ,       ...  ,                ...  ,11.823,0.036000000000000004,12.526,0.024,11.238,0.021,10.929,0.022000000000000002,10.649000000000001,0.021,10.061,0.06,578.0
99,-28.814901064,   2MASSI J0316451-284852  , 2003AJ....126.2421C ,0.07,-2.61,19.406,-99999.0,-99999.0,19.144000000000002,0.015,21.573,0.066,16.58,0.008,17.646,0.005,-28.814888,-99999.0,                ...  ,-99999.0,49.188589,            ,                     ,30.06,0.41,       31.8 ,     3.1 ,     21.596 ,      2.098 ,280.0,0.7,19.57,0.046,      551.6 ,     5.1 ,     17.908 ,      0.165 ,-95.12,0.57,104.41,0.39,49.188605385, J0316-2848  ,5058664471807949952,        L1  , 2014APJ...794..143B ,       L0:  , 2003AJ....126.2421C ,       ...  ,                ...  ,13.772,0.036000000000000004,14.578,0.040999999999999995,13.114,0.036000000000000004,12.662,0.023,12.322000000000001,0.022000000000000002,11.672,0.133,328.0
100,-4.7790391119999995,   2MASSW J0320284-044636  , 2003IAUS..211..197W ,0.3,-1.51,17.999000000000002,21.605999999999998,0.121,17.468,0.004,20.101,0.035,15.020999999999999,0.004,-99999.0,-99999.0,-4.7766228,-99999.0,                ...  ,-99999.0,50.118298,       UR;  , 2008APJ...678L.125B ,49.91,0.5,       38.3 ,    11.1 ,     21.394 ,      6.230 ,1296.3,3.3,17.907,0.046,     2479.2 ,    30.3 ,     16.276 ,      0.199 ,-524.01,0.76,-225.62,0.79,50.11719007, J0320-0446  ,5182151481717042944, M8.5 + T5: , 2008APJ...689L..53B ,        M8  , 2003AJ....126.2421C ,       ...  ,                ...  ,12.535,0.023,13.259,0.024,12.134,0.026000000000000002,11.818,0.023,11.455,0.021,10.875,0.126,930.0
101,-46.523249013000004,              2MUCD 20157  , 2008AJ....136.1290R ,0.03,-3.13,19.69,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-46.523249,-99999.0,                ...  ,-99999.0,50.792228,       MG;  , 2014APJ...783..121G ,23.61,0.79,       54.9 ,    25.0 ,     21.003 ,      9.563 ,109.0,1.0,20.595,0.192,      223.0 ,     7.2 ,     18.891 ,      0.606 ,-8.32,1.66,85.17,1.57,50.792245566000005, J0323-4631  ,4846216555917018624,       ...  ,                ...  ,  L0 gamma  , 2009AJ....137.3345C ,       ...  ,                ...  ,14.321,0.062,15.389000000000001,0.07,13.702,0.05,13.091,0.024,12.683,0.023,11.807,0.172,577.0
103,-0.42787951399999996, SDSSp J033035.13-002534.5 , 2000AJ....119..928F ,0.2,-2.25,20.697,-99999.0,-99999.0,20.137999999999998,0.027999999999999997,21.798000000000002,0.14800000000000002,17.529,0.006999999999999999,18.392,0.038,-0.42784069,-99999.0,                ...  ,-99999.0,52.648048,            ,                     ,35.44,1.17,       27.8 ,     7.8 ,     21.739 ,      6.053 ,119.8,1.1,20.491999999999997,0.187,      244.0 ,    11.7 ,     18.793 ,      0.898 ,-349.54,2.75,384.12,2.46,52.64809420899999, J0330-0025  ,3264130653394056320,      L6.5  , 2014APJ...794..143B ,        L4  , 2002AJ....123.3409H ,      L3.5  , 2016A&A...589A..49S ,14.42,0.043,15.311,0.05,13.837,0.047,13.302,0.026000000000000002,13.030999999999999,0.027999999999999997,12.350999999999999,0.44299999999999995,406.0
105,-35.427630973,              2MUCD 10201  , 2002AJ....124.1170D ,0.25,0.96,15.847000000000001,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-35.428913,155.89, 2014AJ....147...94D ,1.03,54.896748,       MG;  , 2014APJ...783..121G ,155.76,0.1,      373.8 ,     5.9 ,     18.920 ,      0.296 ,12279.9,10.7,15.465,0.013000000000000001,    22672.4 ,   118.2 ,     13.873 ,      0.072 ,268.19,0.2,308.87,0.15,54.898517528, J0339-3525  ,4860376345833699840,        L0  , 2013APJ...772...79A ,        M9  , 2002AJ....124..519R ,       ...  ,                ...  ,10.017000000000001,0.021,10.725,0.021,9.548,0.023,9.134,0.023,8.802999999999999,0.019,8.269,0.019,153.0
106,-67.399081852,   2MASS 03400942-6724051  , 2007AJ....133..439C ,0.28,0.15,19.824,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-67.399153,-99999.0,                ...  ,-99999.0,55.035369,            ,                     ,107.12,0.62,        NaN ,     NaN ,        NaN ,        NaN ,178.0,1.3,20.062,0.149,        NaN ,     NaN ,        NaN ,        NaN ,497.43,1.66,-331.85,1.55,55.035255418, J0340-6724  ,4667836363565989120,       ...  ,                ...  ,      L7::  , 2007AJ....133..439C ,       ...  ,                ...  ,13.59,0.028999999999999998,14.742,0.032,12.925,0.026000000000000002,12.06,0.022000000000000002,11.509,0.021,10.439,0.049,151.0
108,25.672944205,    2MASP J0345432+254023  , 1997APJ...476..311K ,0.07,-2.13,18.91,21.541,0.192,18.35,0.004,20.704,0.040999999999999995,15.907,0.005,16.891,0.004,25.67295,37.1, 2002AJ....124.1170D ,0.5,56.429399,            ,                     ,37.46,0.42,       44.9 ,    14.2 ,     21.220 ,      6.695 ,563.2,2.1,18.812,0.07,     1057.0 ,     9.4 ,     17.202 ,      0.153 ,-41.8,0.43,-94.37,0.82,56.429384373000005, J0345+2540  ,69927191475070080,        L1  , 2004AJ....127.3553K ,        L0  , 1999APJ...519..802K ,       ...  ,                ...  ,13.210999999999999,0.03,13.997,0.027000000000000003,12.672,0.024,12.360999999999999,0.024,12.1,0.023,12.333,0.515,825.0
109,2.181469814,   2MASS 03521086+0210479  , 2007A&A...466.1059K ,0.23,-1.45,17.995,21.46,0.11599999999999999,17.305,0.006,19.833,0.019,14.902999999999999,0.005,-99999.0,-99999.0,2.179992,-99999.0,                ...  ,-99999.0,58.045258,            ,                     ,51.2,0.25,       66.2 ,     7.0 ,     20.800 ,      2.198 ,1498.9,2.0,17.749000000000002,0.024,     2865.2 ,    20.3 ,     16.119 ,      0.114 ,341.27,0.32,306.39,0.42,58.046577941, J0352+0210  ,3270388416449237760,       L0:  , 2007A&A...466.1059K ,        M9  , 2008AJ....136.1290R ,       ...  ,                ...  ,12.412,0.025,13.078,0.027000000000000003,11.955,0.024,11.609000000000002,0.023,11.341,0.021,10.863,0.127,548.0
113,-44.291818792, DENIS-P J035726.9-441730  , 2003AJ....126.1526B ,0.09,-3.35,19.288,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-44.291821,-99999.0,                ...  ,-99999.0,59.362328,       MG;  , 2014APJ...783..121G ,21.37,0.37,       47.5 ,    15.4 ,     21.161 ,      6.888 ,331.0,1.3,19.389,0.075,      652.8 ,     9.8 ,     17.725 ,      0.265 ,-3.09,0.86,76.15,0.56,59.362800145, J0357-4417  ,4841448081361281920,      L2 p  , 2013AJ....146..161M ,   L0 beta  , 2008APJ...689.1295K ,       ...  ,                ...  ,13.530999999999999,0.026000000000000002,14.367,0.032,12.907,0.027000000000000003,12.485999999999999,0.023,12.095999999999998,0.021,11.6,0.10300000000000001,225.0
114,-40.846167977,   2MASS 04012977-4050448  , 2008AJ....136.1290R ,0.07,-3.29,19.262999999999998,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-40.846155,-99999.0,                ...  ,-99999.0,60.373963,            ,                     ,22.01,0.35,       31.2 ,     5.1 ,     21.615 ,      3.512 ,363.1,1.2,19.288,0.066,      747.6 ,    12.2 ,     17.578 ,      0.286 ,-86.25,0.71,-22.48,0.61,60.37395853100001, J0401-4050  ,4842465198336036608,        L0  , 2014APJ...794..143B ,       L0:  , 2008AJ....136.1290R ,       ...  ,                ...  ,13.72,0.035,14.533,0.035,13.175999999999998,0.032,12.835999999999999,0.023,12.519,0.023,12.167,0.209,222.0
117,15.779087905,   2MASS 04070752+1546457  , 2008AJ....136.1290R ,0.26,-2.81,20.581999999999997,24.964000000000002,-99999.0,20.246,0.015,21.938000000000002,0.124,17.694000000000003,0.011000000000000001,18.715999999999998,0.01,15.779381,28.92, 2016ApJ...833...96L ,1.25,61.781357,            ,                     ,27.44,1.77,       21.5 ,     3.4 ,     22.021 ,      3.491 ,98.6,1.3,20.704,0.267,      197.9 ,    11.7 ,     19.021 ,      1.124 ,-53.13,2.71,61.25,3.49,61.781634875, J0407+1546  ,45365815403062528,        L4  , 2014APJ...794..143B ,      L3.5  , 2008AJ....136.1290R ,       ...  ,                ...  ,14.354000000000001,0.057,15.478,0.057999999999999996,13.559000000000001,0.038,12.966,0.024,12.572000000000001,0.025,12.145999999999999,-99999.0,229.0
118,-14.843147112,   2MASSI J0408290-145033  , 2003IAUS..211..197W ,0.11,-1.71,19.435,-99999.0,-99999.0,18.645,0.006,20.904,0.043,16.250999999999998,0.006,17.23,0.01,-14.843132,-99999.0,                ...  ,-99999.0,62.121989,            ,                     ,45.44,0.33,       39.6 ,     4.5 ,     21.358 ,      2.447 ,430.0,1.2,19.105,0.052000000000000005,      807.7 ,     9.7 ,     17.494 ,      0.210 ,-111.31,0.37,205.76,0.45,62.122019183999996, J0408-1450  ,5098050661942146816,      L4.5  , 2003IAUS..211..197W ,        L2  , 2003AJ....126.2421C ,       ...  ,                ...  ,13.337,0.03,14.222000000000001,0.03,12.817,0.023,12.386,0.024,12.097999999999999,0.022000000000000002,11.662,0.228,51.0
122,-22.888946218,   2MASSI J0428510-225323  , 2003A&A...403..929K ,0.06,-2.11,18.292,-99999.0,-99999.0,17.954,0.004,20.226,0.015,15.515999999999998,0.006999999999999999,16.497,0.005,-22.889641,38.48, 2014AJ....147...94D ,1.85,67.212364,            ,                     ,37.88,0.41,       47.3 ,     7.1 ,     21.165 ,      3.202 ,679.1,3.4,18.609,0.092,     1584.2 ,     9.3 ,     16.762 ,      0.099 ,150.09,0.54,120.4,0.5,67.212938347, J0428-2253  ,4898159649876292096,        L0  , 2014APJ...794..143B ,      L0.5  , 2003A&A...403..929K ,       ...  ,                ...  ,12.668,0.027000000000000003,13.507,0.023,12.118,0.026000000000000002,11.724,0.023,11.472000000000001,0.022000000000000002,10.957,0.132,348.0
124,-42.314352815999996,   2MASS 04362054-4218523  , 2008AJ....136.1290R ,0.01,-3.31,19.299,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-42.314358,-99999.0,                ...  ,-99999.0,69.085777,            ,                     ,21.79,0.75,       57.1 ,    16.9 ,     20.960 ,      6.203 ,296.6,2.2,19.508,0.142,      662.6 ,     8.1 ,     17.709 ,      0.215 ,35.99,1.46,36.49,1.54,69.085783857, J0436-4218  ,4815587464796456192,      L0.5  , 2014APJ...794..143B ,       L0:  , 2008AJ....136.1290R ,       ...  ,                ...  ,13.654000000000002,0.034,14.489,0.04,13.137,0.035,12.786,0.024,12.517000000000001,0.023,12.073,0.223,453.0
125,-23.886351239,   2MASSI J0439010-235308  , 2003AJ....126.2421C ,0.13,-0.46,19.756,-99999.0,-99999.0,19.526,0.012,21.444000000000003,0.08199999999999999,16.486,0.012,17.506,0.006999999999999999,-23.886335,110.4, 2012ApJ...752...56F ,4.0,69.753663,            ,                     ,80.79,0.51,       45.9 ,     7.0 ,     21.197 ,      3.249 ,277.3,0.9,19.581,0.064,      585.5 ,     7.0 ,     17.843 ,      0.215 ,-153.11,0.81,-113.61,0.69,69.75365370899999, J0439-2353  ,4894945708668731264,       ...  ,                ...  ,      L6.5  , 2003AJ....126.2421C ,       ...  ,                ...  ,13.409,0.028999999999999998,14.408,0.028999999999999998,12.815999999999999,0.023,12.06,0.024,11.687000000000001,0.022000000000000002,11.074000000000002,0.121,502.0
127,0.03428978,              2MUCD 10320  , 2007AJ....133..439C ,0.02,-1.62,17.445,21.511,0.065,16.956,0.004,19.66,0.016,14.402999999999999,0.004,15.380999999999998,0.001,0.034773055,47.32, 2016ApJ...833...96L ,1.02,70.906708,       MG;  , 2014APJ...783..121G ,47.41,0.19,       70.1 ,     5.8 ,     20.738 ,      1.711 ,2199.2,3.5,17.333,0.027000000000000003,     4305.7 ,    34.3 ,     15.677 ,      0.125 ,-107.48,0.28,55.11,0.4,70.906940544, J0443+0002  ,3230008650057256960,   L0Int-G  , 2013APJ...772...79A ,   M9Int-G  , 2007AJ....133..439C ,       ...  ,                ...  ,11.804,0.024,12.507,0.026000000000000002,11.216,0.021,10.831,0.023,10.481,0.021,10.084,0.067,751.0
128,-30.807539980999998,   2MASSI J0445538-304820  , 2003AJ....126.2421C ,0.17,-1.04,18.348,-99999.0,-99999.0,17.781,0.004,20.112000000000002,0.111,15.382,0.004,-99999.0,-99999.0,-30.805683,78.5, 2012ApJ...752...56F ,4.9,71.47448,            ,                     ,61.97,0.18,       40.9 ,     4.7 ,     21.323 ,      2.430 ,939.3,2.3,18.256,0.044000000000000004,     1765.5 ,    16.3 ,     16.645 ,      0.154 ,-419.68,0.39,161.48,0.28,71.475377523, J0445-3048  ,4878035808244168832,       ...  ,                ...  ,        L2  , 2003AJ....126.2421C ,       ...  ,                ...  ,12.58,0.024,13.392999999999999,0.026000000000000002,11.975,0.021,11.585,0.023,11.34,0.022000000000000002,10.709000000000001,0.08,723.0
129,-34.036881314,   2MASSI J0451009-340214  , 2003AJ....126.2421C ,0.08,-1.7,18.419,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-34.03751,47.46, 2014AJ....147...94D ,1.51,72.753891,            ,                     ,45.8,0.17,       45.1 ,     6.7 ,     21.216 ,      3.168 ,783.0,1.6,18.454,0.037000000000000005,     1520.0 ,    11.5 ,     16.807 ,      0.128 ,138.22,0.31,96.85,0.28,72.754443471, J0451-3402  ,4873243032763432064,      L0.5  , 2014APJ...794..143B ,      L0.5  , 2003AJ....126.2421C ,       ...  ,                ...  ,12.825999999999999,0.023,13.540999999999999,0.023,12.294,0.026000000000000002,11.935,0.023,11.672,0.021,11.105,0.10300000000000001,36.0
130,-17.86517762,   2MASSI J0453264-175154  , 2003AJ....126.2421C ,0.03,-2.39,20.152,23.756,-99999.0,19.691,0.008,22.144000000000002,0.006999999999999999,17.192999999999998,0.008,18.223,0.011000000000000001,-17.865174,-99999.0,                ...  ,-99999.0,73.360527,            ,                     ,33.22,0.59,       26.5 ,     5.0 ,     21.792 ,      4.107 ,160.1,1.0,20.178,0.12,      319.2 ,     5.5 ,     18.502 ,      0.318 ,-20.77,0.82,44.63,0.73,73.360533934, J0453-1751  ,2979566285233332608,        L3  , 2014APJ...794..143B ,       L3:  , 2003AJ....126.2421C ,       ...  ,                ...  ,14.06,0.035,15.142000000000001,0.035,13.466,0.035,12.952,0.024,12.607999999999999,0.023,12.027999999999999,0.21100000000000002,30.0
131,3.5123964219999997,   2MASS 05002100+0330501  , 2008AJ....136.1290R ,0.32,-0.59,18.871,-99999.0,-99999.0,18.596,0.005,20.723000000000003,0.047,15.934000000000001,0.005,16.987000000000002,0.003,3.513938,73.85, 2014AJ....147...94D ,1.98,75.087517,            ,                     ,76.21,0.36,       41.6 ,     8.7 ,     21.304 ,      4.439 ,507.9,1.0,18.924,0.039,     1000.2 ,     7.9 ,     17.262 ,      0.136 ,-351.69,0.4,10.2,0.58,75.087597189, J0500+0330  ,3238449635184620672,        L4  , 2014APJ...794..143B ,        L4  , 2008AJ....136.1290R ,       ...  ,                ...  ,12.683,0.023,13.669,0.024,12.062000000000001,0.024,11.511,0.022000000000000002,11.244000000000002,0.021,10.93,0.139,455.0
132,-0.179954741,              2MUCD 20198  , 2008AJ....136.1290R ,0.27,-1.64,19.674,-99999.0,-99999.0,20.043,0.027999999999999997,-99999.0,-99999.0,17.447,0.016,18.49,0.016,-0.17924,48.35, 2016ApJ...833...96L ,1.38,75.350281,            ,                     ,47.08,0.89,       41.7 ,     6.9 ,     21.300 ,      3.542 ,126.9,0.9,20.43,0.142,      236.4 ,     6.8 ,     18.828 ,      0.541 ,-145.31,1.16,189.25,1.52,75.35117467, J0501-0010  ,3228124598226930816,   L3Int-G  , 2013APJ...772...79A ,   L4Int-G  , 2009AJ....137.3345C ,       ...  ,                ...  ,13.713,0.034,14.982000000000001,0.038,12.963,0.035,12.05,0.023,11.522,0.022000000000000002,10.745999999999999,0.106,449.0
